Projeto,Mod Entrada,Area Entrada,,Projeto,Mod Saida,Area Saida,Circuito
A1,M1 A1,SALA JANTAR,,A1,M2 A1,SALA JANTAR,A
A2,M1 A2,COZINHA,,A2,M2 A2,COZINHA,A
A3,M1 A3,SALA ESTAR,,A3,M2 A3,SALA ESTAR,A
A4,M1 A4,SALA TV,,A4,M2 A4,SALA TV,A
A5,M1 B1,ÁREA DE SERVIÇO,,A5,M2 B1,ÁREA DE SERVIÇO,A
A6,M1 B2,SACADA,,A6,M2 B2,SACADA,A
A7,M1 B3,SACADA SPOT,,A7,M2 B3,SACADA SPO,A
A8,M1 B4,CHURRASQUEIRA,,A8,M2 B4,CHURRASQUEIRA,A
A9,M1 C1,PERSIANA SUITE 1,,A9,M2 C1,PERSIANA SUITE 1 UP,A
A11,M1 C2,PERSIANA SUITE 2,,A11,M2 C3,PERSIANA SUITE 2 UP,A
A13,M1 C3,PERSIANA SUITE MASTER,,A13,M2 D1,PERSIANA SUITE MASTER UP,A
A15,M1 C4,CAMPAINHA,,A15,M2 D3,CAMPAINHA,A
A16,M1 D1,CONTATORA,,A16,M2 D4,CONTATORA,A
B1,M1 D2,CIRCULAÇÃO,,B1,M3 A1,CIRCULAÇÃO,A 
B2,M1 D3,SUITE 1 ENTRADA,,B2,M3 A2,SUITE 1 ENTRADA,A
B3,M1 D4,SUITE 1,,B3,M3 A3,SUITE 1,A
B4,M1 E1,SUITE 1 BANHEIRO ,,B4,M3 A4,SUITE 1 BANHEIRO,A
B5,M1 E2,SUITE 1 BANHEIRO  SPOT,,B5,M3 B1,SUITE 1 BANHEIRO  SPOT,A
B6,M1 E3,SUITE 2,,B6,M3 B2,SUITE 2,A
B7,M1 E4,SUITE 2 ENTRADA,,B7,M3 B3,SUITE 2 ENTRADA,A
B8,M1 F1,SUITE 2 BANHEIRO ,,B8,M3 B4,SUITE 2 BANHEIRO,A
B9,M1 F2,SUITE 2 BANHEIRO SPOT,,B9,M3 C1,SUITE 2 BANHEIRO SPOT,A
B10,M1 F3,SUITE MASTER ENTRADA,,B10,M3 C2,SUITE MASTER ENTRADA,A
B11,M1 F4,SUITE MASTER,,B11,M3 C3,SUITE MASTER,A
B12,M1 G1,SUITE MASTER BANHEIRO,,B12,M3 C4,SUITE MASTER BANHEIRO,A
B13,M1 G2,SUITE MASTER BANHEIRO SPOT,,B13,M3 D1,SUITE MASTER BANHEIRO SPOT,A
B14,M1 G3,LAVABO,,B14,M3 D2,LAVABO,A
